# omegamh2 omegabh2 H0
1.427646999999999944e-01 2.257711999999999913e-02 6.775145999999999447e+01
1.424348000000000003e-01 2.232680999999999902e-02 6.762451000000000079e+01
1.442125999999999963e-01 2.226799999999999960e-02 6.683838000000000079e+01
1.435308999999999890e-01 2.232908999999999936e-02 6.718017999999999290e+01
1.452764000000000000e-01 2.203178999999999901e-02 6.613036999999999921e+01
1.456977999999999884e-01 2.201320000000000013e-02 6.591553000000000395e+01
1.418935000000000057e-01 2.241403000000000145e-02 6.787354000000000553e+01
1.435630999999999990e-01 2.222553999999999849e-02 6.709717000000000553e+01
1.453201000000000076e-01 2.242322999999999886e-02 6.645752000000000237e+01
1.443359999999999921e-01 2.227708999999999939e-02 6.682372999999999763e+01
1.442865999999999871e-01 2.228938999999999920e-02 6.693604000000000553e+01
1.409358000000000000e-01 2.239783999999999872e-02 6.825439000000000078e+01
1.398556999999999995e-01 2.272572000000000134e-02 6.904053000000000395e+01
1.432879999999999987e-01 2.223291000000000156e-02 6.719482000000000710e+01
1.429286999999999919e-01 2.230893000000000112e-02 6.714600000000000080e+01
1.424613999999999880e-01 2.230365000000000125e-02 6.735595999999999606e+01
1.438182000000000071e-01 2.215713000000000057e-02 6.662842000000000553e+01
1.398043999999999953e-01 2.244016999999999887e-02 6.866943000000000552e+01
1.447678000000000020e-01 2.216086000000000097e-02 6.629639000000000237e+01
1.432112000000000107e-01 2.225003999999999871e-02 6.726806999999999448e+01
1.436019000000000045e-01 2.232997999999999927e-02 6.716553000000000395e+01
1.422860999999999987e-01 2.266202999999999967e-02 6.810791000000000395e+01
1.444197000000000120e-01 2.232384000000000104e-02 6.676024999999999920e+01
1.431630999999999876e-01 2.227480999999999906e-02 6.727294999999999447e+01
1.443919999999999926e-01 2.259738000000000024e-02 6.709717000000000553e+01
1.439531000000000005e-01 2.231669999999999834e-02 6.711181999999999448e+01
1.439722999999999975e-01 2.204067999999999999e-02 6.650145999999999447e+01
1.431930999999999898e-01 2.213568000000000133e-02 6.684814000000000078e+01
1.457971999999999879e-01 2.230584999999999860e-02 6.632080000000000553e+01
1.449567999999999968e-01 2.218484000000000081e-02 6.622314000000000078e+01
1.453259000000000079e-01 2.223682999999999910e-02 6.643310999999999922e+01
1.427278999999999909e-01 2.249945000000000070e-02 6.776122999999999763e+01
1.417188000000000059e-01 2.244418000000000107e-02 6.811279000000000394e+01
1.424348000000000003e-01 2.232680999999999902e-02 6.762451000000000079e+01
1.420089999999999963e-01 2.235836999999999894e-02 6.784911999999999921e+01
1.455606999999999873e-01 2.207583000000000115e-02 6.609130999999999290e+01
1.459176000000000084e-01 2.215467000000000131e-02 6.603759999999999764e+01
1.443936000000000108e-01 2.226834000000000105e-02 6.671630999999999290e+01
1.428366000000000080e-01 2.221690999999999944e-02 6.705810999999999922e+01
1.453805999999999987e-01 2.237495999999999929e-02 6.647217000000000553e+01
1.425122000000000055e-01 2.221938999999999859e-02 6.713622999999999763e+01
1.420751000000000097e-01 2.253749999999999851e-02 6.783935999999999922e+01
1.454811000000000021e-01 2.236791999999999947e-02 6.668213000000000079e+01
1.435257000000000061e-01 2.246358000000000035e-02 6.734130999999999290e+01
1.418813999999999909e-01 2.248077000000000061e-02 6.787842000000000553e+01
1.455779000000000101e-01 2.216655999999999835e-02 6.606201000000000079e+01
1.463779000000000052e-01 2.210196000000000036e-02 6.580810999999999922e+01
1.426151999999999975e-01 2.226211999999999983e-02 6.718505999999999290e+01
1.415504999999999958e-01 2.259500999999999871e-02 6.817627000000000237e+01
1.450107999999999953e-01 2.232392999999999877e-02 6.651122999999999763e+01
1.444946000000000008e-01 2.230071999999999957e-02 6.679443000000000552e+01
1.415658999999999945e-01 2.231440999999999980e-02 6.782958999999999605e+01
1.424745000000000039e-01 2.263721999999999956e-02 6.796630999999999290e+01
1.437520999999999938e-01 2.232742000000000060e-02 6.704345999999999606e+01
1.427564000000000055e-01 2.253172000000000161e-02 6.771729000000000553e+01
1.437642000000000087e-01 2.217453999999999953e-02 6.692627000000000237e+01
1.407776000000000027e-01 2.262246999999999869e-02 6.846923999999999921e+01
1.426981999999999973e-01 2.247506000000000156e-02 6.767821999999999605e+01
1.441396000000000066e-01 2.232924999999999841e-02 6.702392999999999290e+01
1.430966999999999933e-01 2.229203999999999908e-02 6.719970999999999606e+01
1.441814999999999902e-01 2.232918999999999876e-02 6.694092000000000553e+01
1.418191000000000035e-01 2.258291000000000118e-02 6.796630999999999290e+01
1.426045999999999980e-01 2.230632000000000101e-02 6.740967000000000553e+01
1.425740000000000063e-01 2.243122000000000171e-02 6.767821999999999605e+01
1.439058000000000004e-01 2.238959000000000088e-02 6.712645999999999447e+01
1.424846999999999919e-01 2.239626000000000117e-02 6.773681999999999448e+01
1.429138000000000075e-01 2.249212000000000086e-02 6.729247999999999763e+01
1.431941999999999937e-01 2.240218999999999891e-02 6.742431999999999448e+01
1.416219999999999979e-01 2.250494000000000105e-02 6.803955000000000553e+01
1.442844000000000071e-01 2.221808999999999937e-02 6.672119000000000710e+01
1.418384000000000034e-01 2.228428000000000006e-02 6.766357000000000710e+01
1.433267000000000013e-01 2.266951999999999856e-02 6.773681999999999448e+01
1.442212999999999967e-01 2.243248000000000117e-02 6.714110999999999763e+01
1.428696999999999884e-01 2.252507999999999941e-02 6.733642999999999290e+01
1.421431999999999973e-01 2.257313000000000028e-02 6.802002000000000237e+01
1.455097999999999947e-01 2.234498000000000040e-02 6.647705000000000553e+01
1.433696000000000137e-01 2.244296000000000138e-02 6.734619000000000710e+01
1.445358999999999949e-01 2.239352000000000009e-02 6.711181999999999448e+01
1.416843000000000130e-01 2.233165999999999971e-02 6.770264000000000237e+01
1.451424000000000047e-01 2.226438999999999849e-02 6.657958999999999605e+01
1.436977999999999867e-01 2.227414000000000130e-02 6.700439000000000078e+01
1.432761999999999925e-01 2.217376999999999890e-02 6.686767999999999290e+01
1.463878999999999875e-01 2.208484999999999962e-02 6.571044999999999447e+01
1.417248000000000119e-01 2.253435999999999981e-02 6.802002000000000237e+01
1.447172999999999932e-01 2.216038000000000036e-02 6.639892999999999290e+01
